name,price,shipping,free_returns,items_sold,status
"Dell 11 Chromebook 3189 TouchScreen 2in1 Tablet 11.6"" Intel 1.6GHZ 4GB RAM 32GB ",5799,0,True,0,Pre-Owned · Dell · 32 GB
"New ListingMicrosoft Surface Pro 4, 12.3"", Intel Core i5-6300 2.40GHz, 8GB RAM, 256GB SSD",16500,2810,False,,Pre-Owned · Microsoft · 256 GB
"Acer Swift 3 - 14"" Laptop Intel Core i5-1240P 1.70GHz 16GB RAM 512GB SSD W11H",54999,0,True,0,Certified - Refurbished · Acer · 16 GB
New ListingLenovo ThinkPad T560 i5 - 6200U 2.3GHz 256GB SSD 8GB RAM,12500,500,False,,Pre-Owned · Lenovo · 256 GB
"Dell Latitude E5420 14"" Laptop Intel Core i3 2.3GHz 4GB - 250GB HDD Windows 10",8800,0,True,,Pre-Owned · Dell · 160 GB
Samsung Galaxy Book Pro 15.6 FHD Non-Touch i7-1165G7 16 1TB NP950XDB-KC5US,64999,0,True,,Open Box · Samsung · 1 TB
HP STREAM 11 PRO G4 EE N3350 1.10GHz 4GB 64GB SSD WINDOWS 11 PRO w/ CHARGER,6499,0,True,,Pre-Owned · HP · 4 GB
Samsung - Galaxy Book2 Pro 360 2-in-1 13.3AMOLED Touch Screen LaptopIntel...,149999,0,False,,Brand New · Samsung
"Dell Chromebook 3120 11.6"" 11 Laptop Intel Celeron N2840 2.16GH 16GB SSD 4GB RAM",4299,0,True,,Pre-Owned · Dell · 16 GB
"Acer Nitro 5 - 17.3"" Laptop Intel Core i7-11800H 2.3GHz 16GB RAM 1TB SSD W11H",79999,0,True,0,Certified - Refurbished · Acer · 1 TB
"Thinkpad T470 i7-7600U 14"" FHD 32GB DDR4 New 1tb Windows 11 Pro Laptop Notebook",36999,0,True,0,Excellent - Refurbished · Lenovo · 1 TB
"HP Laptop Computer 650 G1 15.6"" Core i7 16GB 256GB SSD WiFi Windows 10 Pro PC",20999,0,True,0,Good - Refurbished · HP · 256 GB
"Dell Chromebook 11.6"" 4GB Ram 64GB SSD -Intel Celeron N3060  1.6GHz - Very Good",8400,0,True,0,Very Good - Refurbished · Dell · 64 GB
"HP Elitebook 840 G3 14"" TOUCHSCREEN  i7-6600U 2.6GHz 8GB RAM 128GB SSD Win 10 P",17900,0,True,160,Pre-Owned · HP · 128 GB
✅HP Laptop x360 2-in-1 Touch Screen ✅ 4GB RAM 64GB SSD |Windows 10 Pro ✅ Adapter,19999,0,True,,Pre-Owned · HP · 4 GB
Shop on eBay,2000,,False,,Brand New
"Dell Chromebook 3180 Laptop 11.6"" Celeron 4GB RAM 32GB SSD Chrome OS WiFi HDMI",4250,0,True,0,Good - Refurbished · Dell · 32 GB
New ListingDell Latitude 5480 | i5-6300U | 8GB RAM | 256GB SSD | LINUX | READ,10640,1725,False,0,Pre-Owned · Dell · 256 GB
Dell Laptop Latitude 7250 Core i7 Processor 256GB Solid State 8GB Ram Windows 10,13700,0,True,0,Very Good - Refurbished · Dell · 256 GB
"HP EliteBook 8460P 14"" Laptop Computer Core i5 8GB Ram 1TB DVD WIFI Windows 10",16999,0,True,0,Very Good - Refurbished · HP · 1 TB
"NEW HP 14"" Intel Laptop + Office 365 64GB SSD 4GB W10 Webcam Cloud 16GB USB",22599,0,True,402,Brand New
"HP Chromebook 14-SMB 14"" Laptop Intel Celeron 2GB RAM 16GB eMMC",4999,0,True,0,Pre-Owned · HP · 16 GB
"HP 15-dw0081 15.6"" HD Notebook Intel Silver N5000 1.1GHz 4GB 500GB Win10 H",20999,0,True,0,Certified - Refurbished · HP · 4 GB
"C Grade Dell Latitude 14 Rugged 5404 14"" i5-4310U 2Ghz 8GB  RAM 256GB SSD No OS",10000,0,True,132,Pre-Owned · Dell · 256 GB
"HP ProBook 650 G3 15.6"" Core i5 Laptop 8GB 256GB SSD Windows 10 Professional DVD",20997,0,True,0,Very Good - Refurbished · HP · 256 GB
"Acer - Nitro 5 - 15.6"" FHD Gaming Laptop Intel Core i5 NVIDIA GeForce RTX...",99999,0,False,90,Brand New · Acer
"HP - Pavilion - 2-in-1 14"" FHD Laptop - Intel Core i3 - 8GB Memory - 256GB SS...",,0,False,767,Brand New · HP
"Microsoft Surface Pro 4 12.3"" Silver 2015 2.4GHz i5-6300U 8GB 256GB SSD - Good",11999,0,True,16,Pre-Owned · Microsoft · 256 GB
"Dell Chromebook 11 11.6"" CB1C13 Laptop Intel 2955U 1.4GHz 4GB RAM 16GB SSD WIFI",4895,0,True,,Pre-Owned · Dell · 16 GB
"HP ProBook 4440S Laptop Computer 14"" Intel Core i3 8GB Ram 1TB Windows 10 WiFi",14999,0,True,0,Good - Refurbished · HP · 1 TB
Lenovo T470 - Core i5 @ 2.4GHz - 8GB RAM - 256GB SSD - Webcam - Windows 10 Pro,20000,0,True,,Pre-Owned · Lenovo · 256 GB
HP Chromebook 11 G5 Laptop Intel 1.6 GHz 4 Memory Bluetooth HDMI Webcam - Red,9999,0,True,,Pre-Owned · HP · 16 GB
